id,type
30604296,residential
30604297,residential
30993800,residential
30993801,residential
30993801,living_street
30993801,residential
31662613,residential
31662804,residential
31663182,residential
32395944,residential
32395944,tertiary
32395945,tertiary
32395945,residential
32395945,tertiary
32395945,residential
32423096,residential
32423099,residential
32423099,tertiary
32423101,tertiary
32785318,tertiary
32785318,trunk
35761626,trunk
35761626,path
35761627,path
35761627,track
35761627,path
35761628,path
35761629,path
35761630,path
35761631,path
35761632,path
35761633,path
35761634,path
35762067,path
35762068,path
35762209,path
35762210,path
35762211,path
35762212,path
35762213,path
35762393,path
35762394,path
35762461,path
35762483,path
35762484,path
35832261,path
35839798,path
35839799,path
35839800,path
35839801,path
35839802,path
35839803,path
35839804,path
35839805,path
35839806,path
35839807,path
35839808,path
35839809,path
35839810,path
35839811,path
35839812,path
35839949,path
35839950,path
35839951,path
35839952,path
35839953,path
35839954,path
35839955,path
35839956,path
35839957,path
35839958,path
35839959,path
35839960,path
35840006,path
35840007,path
35840008,path
35840009,path
35840010,path
35840011,path
35840012,path
35840013,path
35840014,path
35840015,path
35840623,path
35840624,path
35840625,path
35840733,path
35840734,path
35840735,path
35840736,path
35840737,path
35840738,path
35840739,path
35840740,path
35840741,path
35840742,path
35840743,path
35840744,path
35840745,path
35840746,path
35840747,path
35840905,path
35840906,path
35840907,path
35840908,path
35840909,path
35840910,path
35840911,path
35840950,path
35840951,path
35840952,path
35840953,path
35840954,path
35840955,path
35840956,path
35840957,path
35840958,path
35840959,path
35840960,path
35840961,path
35840962,path
35841090,path
35841091,path
35841092,path
35841093,path
35841094,path
35841095,path
35841096,path
35841097,path
35841098,path
35841099,path
35841100,path
35841101,path
35841102,path
35841103,path
35841104,path
35841105,path
35841106,path
35841107,path
35841108,path
35842755,path
35842756,path
35842757,path
35842758,path
35842759,path
35842760,path
35842761,path
35842762,path
35842763,path
35842764,path
35842765,path
35842766,path
35842767,path
35842768,path
35842769,path
35842770,path
35842771,path
35843132,path
35843133,path
35843134,path
35843481,path
35843482,path
35843483,path
35843957,path
35843957,track
35844047,track
35844048,track
